"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","0.0452","0.0501","0.0609","0.0658","0.0651","0.0791","0.0782","0.0889","0.0937","0.0977","0.1017","0.1049","0.1044","0.107","0.1217","0.1273","0.137","0.1518","0.1659","0.221","0.2144","0.2419","0.2668","0.2704","0.2975","0.3272","0.2258","0.3533","0.3619","0.3523","0.3358","0.3441","0.3632","0.4122","0.4302","0.4626","0.4606","0.5009","0.4931","0.5269","0.5075","0.3371","0.41","0.4638","0.4751","0.4765","0.4941","0.4672","0.5021","0.5758","0.4947","0.4792","0.4967","",
"Africa Eastern and Southern","AFE","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","542.8385","544.9833","559.2461","588.8464","602.9768","621.4084","643.3692","654.8227","642.7381","660.8421","681.1445","700.5135","723.894","734.4717","760.3088","776.0105","783.7726","806.3576","824.0978","830.4632","852.9981","842.7496","845.0508","851.1606","880.7133","917.7315","951.0741","980.3534","1009.1996","1009.2629","1017.1505","1037.3631","1063.3783","1099.0491","1154.0032","1189.7974","1196.9805","1254.1232","1311.4504","1291.3033","1332.2978","1327.3242","1376.8813","1415.902","1454.1035","1451.3313","1467.5388","1488.419","1511.0722","1546.1407","1489.5215","1513.6747","1519.0806","",
"Afghanistan","AFG","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","17.3007","17.2564","15.305","15.9279","17.2394","17.9443","17.946","18.1071","17.6508","17.4416","17.4651","17.554","17.4934","17.4247","16.3638","16.2932","14.5669","14.1503","14.3102","13.5768","13.677","13.7607","12.8055","12.9818","13.1404","13.5373","14.8826","15.9743","16.8245","17.8534","15.9593","14.292","16.9524","17.6405","17.6977","18.0998","18.3695","19.5262","22.9984","26.222","30.0995","34.3788","32.373","30.8083","31.1226","31.1165","30.4751","31.6827","31.3494","30.2322","28.0598","28.8626","29.0264","",
"Africa Western and Central","AFW","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","289.6623","307.2581","342.8797","382.6476","422.1266","369.7227","408.3544","402.0908","395.6661","463.8502","443.8423","389.5564","387.4091","386.0971","398.073","417.0459","415.1491","406.8179","428.6598","464.1494","470.0048","494.9171","522.8231","529.7707","560.9404","603.2586","680.4171","661.817","648.2227","646.2478","692.9648","709.5192","652.9149","707.8159","711.6205","715.9169","700.2041","685.8862","699.8463","690.4373","734.034","769.3978","789.0129","805.4317","831.3065","845.2841","858.7676","879.0256","908.7729","943.86","928.3863","944.9457","956.2243","",
"Angola","AGO","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","20.1384","20.0184","22.721","24.3759","25.0832","23.8899","19.9604","24.6209","26.7534","27.3473","27.8547","26.4079","26.6906","28.5801","29.538","31.3158","32.9153","35.0711","37.6505","38.0603","34.957","34.8259","33.9487","37.7762","48.926","56.3415","67.3682","70.2139","75.4714","76.2405","71.4613","69.3024","68.0523","68.304","74.4271","73.5339","66.5606","65.7177","70.0428","71.1734","78.1309","76.6917","78.413","82.9855","85.1866","90.1106","87.096","81.888","78.2157","77.4354","71.6825","69.6139","66.4801","",
"Albania","ALB","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","8.2494","8.1937","9.1285","8.6212","8.8939","9.1004","9.7237","10.2777","11.2966","12.4579","12.6605","11.6846","12.3267","13.176","13.4882","13.0518","13.2761","13.5641","13.4683","13.3582","11.5353","9.053","6.1623","6.2014","6.8961","6.5379","6.2771","5.5314","5.7999","7.0117","7.2227","7.4137","8.0424","8.2349","8.446","8.0396","8.0849","8.0412","7.825","7.8026","8.1113","8.513","8.2231","8.4844","8.9759","8.8152","8.4309","9.2511","9.1992","8.7143","7.8328","7.8677","7.9529","",
"Andorra","AND","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","719.2566","742.0998","774.0574","857.6461","827.6091","836.3407","947.5794","973.6966","1023.7222","1120.9782","1106.4954","986.2435","992.336","1011.7725","1028.0787","1062.736","1120.3906","1174.2646","1255.9184","1317.4324","1289.9449","1251.4188","1314.0474","1396.947","1468.6064","1513.5072","1562.712","1630.4119","1639.0888","1678.8079","1763.0779","1818.8423","1852.3055","1933.6539","2016.0038","2135.6463","2222.8282","2274.1093","2400.3602","2456.823","2584.5868","2639.1379","2804.6665","2839.5247","2911.0288","2974.2078","3052.1764","3104.5724","3125.1049","3149.1743","3041.1638","3217.7056","3325.5181","",
"United Arab Emirates","ARE","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","29.3749","35.4266","38.9931","50.0402","51.4566","52.4674","63.6537","65.2911","71.5091","57.1199","60.0989","55.7801","54.1655","51.7669","65.8738","68.7628","69.2884","73.3406","72.861","82.6093","84.7869","94.156","93.0971","100.0658","106.184","112.6631","118.5536","121.083","122.2333","125.5022","127.7237","142.1937","143.8396","152.1307","159.2349","169.6291","176.7251","187.3279","214.9663","215.9458","224.9155","232.8162","243.6736","255.4578","258.7958","272.7316","281.1532","270.9878","253.4675","268.6961","271.2823","286.7593","295.1103","",
"Argentina","ARG","Total greenhouse gas emissions excluding LULUCF (Mt CO2e)","EN.GHG.ALL.MT.CE.AR5","","","","","","","","","","","223.1991","226.6018","233.77","241.7917","242.4863","243.2288","251.8409","262.3873","255.0515","261.1045","256.648","251.0312","248.1012","254.9176","256.6588","248.509","254.7601","259.1349","268.3789","268.0613","262.6373","266.662","268.7235","271.4204","277.2401","280.2929","288.0539","293.15","298.0708","305.5909","303.6472","299.4525","298.3698","321.5574","341.7355","344.7966","358.5505","365.3305","366.0364","343.2172","346.2642","353.7429","358.7932","368.2646","366.6139","375.0943","375.8706","379.1392","378.2615","373.7171","358.9954","378.39","382.962","",
