year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,0.05,0.08,0.08,0.05,0.1,0.1,0.14,0.16,0.09,0.11,0.14,0.11
1984,0.05,0.05,0.07,0.13,0.1,0.05,0.11,0.16,0.15,0.13,0.14,0.12
1985,0.1,0.1,0.11,0.11,0.1,0.11,0.14,0.13,0.08,0.08,0.1,0.1
1986,0.11,0.12,0.12,0.13,0.11,0.09,0.15,0.12,0.1,0.14,0.16,0.14
1987,0.11,0.11,0.11,0.13,0.16,0.13,0.15,0.17,0.12,0.13,0.13,0.13
1988,0.1,0.08,0.1,0.11,0.11,0.09,0.13,0.15,0.11,0.1,0.09,0.1
1989,0.08,0.09,0.1,0.1,0.1,0.08,0.12,0.14,0.09,0.11,0.11,0.1
1990,0.12,0.14,0.13,0.11,0.1,0.08,0.09,0.1,0.06,0.08,0.11,0.07
1991,0.07,0.07,0.09,0.11,0.11,0.08,0.12,0.14,0.1,0.1,0.11,0.11
1992,0.09,0.09,0.08,0.09,0.1,0.08,0.11,0.13,0.14,0.09,0.09,0.09
1993,0.1,0.11,0.11,0.11,0.12,0.1,0.13,0.14,0.08,0.09,0.09,0.1
1994,0.1,0.1,0.09,0.1,0.13,0.1,0.1,0.12,0.08,0.08,0.1,0.12
1995,0.1,0.11,0.09,0.07,0.08,0.07,0.08,0.12,0.08,0.08,0.07,0.05
1996,0.05,0.08,0.1,0.09,0.08,0.06,0.07,0.09,0.1,0.07,0.06,0.07
1997,0.06,0.08,0.09,0.1,0.09,0.08,0.1,0.09,0.07,0.06,0.09,0.09
1998,0.09,0.09,0.09,0.07,0.07,0.06,0.09,0.09,0.06,0.07,0.07,0.05
1999,0.08,0.1,0.1,0.09,0.08,0.06,0.11,0.15,0.12,0.08,0.08,0.08
2000,0.1,0.12,0.11,0.1,0.09,0.07,0.12,0.14,0.11,0.08,0.09,0.09
2001,0.09,0.12,0.11,0.08,0.07,0.06,0.09,0.1,0.08,0.09,0.08,0.12
2002,0.09,0.07,0.08,0.09,0.08,0.06,0.07,0.08,0.08,0.08,0.08,0.11
2003,0.09,0.09,0.08,0.07,0.09,0.07,0.08,0.13,0.1,0.08,0.07,0.06
2004,0.07,0.1,0.09,0.08,0.1,0.07,0.07,0.1,0.08,0.07,0.09,0.08
2005,0.09,0.11,0.1,0.07,0.07,0.06,0.08,0.1,0.08,0.09,0.11,0.09
2006,0.07,0.08,0.09,0.08,0.08,0.07,0.06,0.1,0.08,0.09,0.07,0.05
2007,0.07,0.09,0.1,0.09,0.06,0.06,0.09,0.08,0.08,0.08,0.07,0.06
2008,0.07,0.1,0.09,0.07,0.08,0.05,0.08,0.09,0.06,0.07,0.06,0.06
2009,0.07,0.07,0.08,0.08,0.06,0.05,0.15,0.14,0.1,0.11,0.09,0.07
2010,0.08,0.1,0.11,0.13,0.16,0.12,0.16,0.12,0.1,0.1,0.11,0.09
2011,0.09,0.07,0.08,0.09,0.09,0.07,0.18,0.19,0.14,0.13,0.11,0.09
2012,0.1,0.16,0.14,0.11,0.09,0.06,0.12,0.15,0.11,0.13,0.11,0.1
2013,0.09,0.12,0.09,0.08,0.1,0.07,0.2,0.16,0.13,0.13,0.1,0.08
2014,0.08,0.08,0.07,0.06,0.07,0.1,0.15,0.14,0.1,0.1,0.08,0.08
2015,0.07,0.07,0.07,0.07,0.1,0.11,0.09,0.13,0.09,0.12,0.12,0.1
2016,0.08,0.09,0.08,0.07,0.09,0.1,0.08,0.09,0.11,0.09,0.09,0.08
2017,0.07,0.09,0.09,0.1,0.13,0.11,0.1,0.16,0.16,0.1,0.08,0.08
2018,0.11,0.1,0.09,0.08,0.09,0.08,0.09,0.13,0.13,0.09,0.09,0.09
2019,0.11,0.11,0.11,0.1,0.08,0.08,0.12,0.13,0.11,0.11,0.11,0.09
2020,0.07,0.09,0.1,0.1,0.09,0.1,0.12,0.14,0.15,0.15,0.12,0.08
2021,0.11,0.12,0.1,0.11,0.11,0.07,0.09,0.08,0.08,0.08,0.11,0.11
2022,0.1,0.11,0.13,0.13,0.16,0.11,0.15,0.14,0.14,0.18,0.15,0.12
2023,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
