year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1983,341.71,341.71,341.7,341.94,342.3,342.71,342.9,342.85,342.94,343.15,343.19,343.26
1984,343.66,343.82,343.6,343.56,343.78,343.8,344.02,344.51,344.57,344.37,344.46,344.72
1985,344.66,344.78,345.32,345.33,345.2,345.47,345.75,345.73,345.82,346.03,346.11,346.25
1986,346.42,346.34,346.38,346.61,346.75,346.99,347.14,347.22,347.26,347.4,347.63,347.46
1987,347.25,347.47,347.88,348.3,348.69,348.81,348.85,349.01,349.14,349.36,349.58,349.88
1988,350.13,350.37,350.39,350.52,350.83,351.07,351.27,351.56,351.79,351.85,351.98,352.16
1989,352.19,352.34,352.58,352.6,352.51,352.57,352.59,352.7,353.1,353.28,353.39,353.59
1990,353.68,353.82,353.77,353.73,353.74,353.67,353.81,354.1,354.31,354.59,354.68,354.75
1991,354.96,355.1,355.24,355.44,355.48,355.56,355.65,355.56,355.45,355.41,355.38,355.49
1992,355.71,355.77,355.78,355.96,356.19,356.28,356.34,356.23,356.13,356.21,356.2,356.27
1993,356.37,356.4,356.52,356.66,356.73,356.68,356.74,356.91,357.05,357.19,357.29,357.49
1994,357.62,357.86,357.91,357.93,358.07,358.1,358.27,358.56,358.67,358.81,359.04,359.15
1995,359.28,359.51,359.7,359.85,359.84,359.92,359.99,360.2,360.64,360.89,361.04,361.2
1996,361.23,361.32,361.4,361.42,361.68,362.23,362.61,362.58,362.31,362.15,362.09,362.19
1997,362.34,362.47,362.62,362.81,362.93,362.97,362.96,362.9,363.01,363.42,363.89,364.22
1998,364.26,364.31,364.53,364.9,365.33,365.67,365.88,366.28,366.61,366.78,366.85,366.97
1999,367.19,367.38,367.53,367.65,367.7,367.79,367.73,367.78,367.99,368.18,368.28,368.36
2000,368.47,368.51,368.57,368.67,368.72,368.78,369.05,369.27,369.25,369.3,369.44,369.54
2001,369.79,370.03,370.17,370.22,370.24,370.28,370.56,370.8,370.88,371.11,371.25,371.46
2002,371.56,371.64,371.86,371.96,372.14,372.3,372.54,372.89,373.29,373.44,373.58,373.8
2003,373.95,374.14,374.35,374.6,374.96,375.17,375.32,375.52,375.78,375.92,376.01,376.09
2004,376.23,376.41,376.56,376.68,376.82,376.96,377.15,377.13,377.06,377.23,377.49,377.69
2005,377.75,377.95,378.26,378.51,378.81,379.01,379.11,379.37,379.47,379.63,379.85,380.05
2006,380.32,380.58,380.7,380.84,380.98,381.14,381.27,381.21,381.4,381.66,381.76,381.92
2007,382.01,382.14,382.36,382.45,382.5,382.69,382.82,383.06,383.46,383.65,383.73,383.96
2008,384.21,384.36,384.51,384.72,384.86,385.02,385.42,385.57,385.29,385.15,385.4,385.74
2009,385.98,386.07,386.05,386.18,386.35,386.45,386.42,386.5,386.66,386.91,387.12,387.28
2010,387.61,387.94,388.03,388.17,388.35,388.51,388.74,389.04,389.4,389.67,389.8,389.79
2011,389.82,389.86,390.03,390.24,390.45,390.63,390.56,390.64,390.98,391.29,391.42,391.53
2012,391.56,391.79,392.08,392.19,392.27,392.36,392.42,392.73,393.27,393.58,393.73,393.82
2013,394.09,394.34,394.66,394.93,395.14,395.45,395.83,396.01,395.88,395.93,396.15,396.35
2014,396.46,396.54,396.6,396.77,397.03,397.16,397.45,397.83,397.89,397.91,398.15,398.35
2015,398.52,398.69,398.86,399.09,399.27,399.5,399.66,399.85,400.14,400.37,400.68,401.17
2016,401.59,401.85,402.17,402.5,402.76,403.03,403.31,403.52,403.75,403.99,404.08,404.19
2017,404.25,404.47,404.63,404.73,404.99,405.28,405.37,405.39,405.5,405.74,406.0,406.23
2018,406.48,406.85,407.12,407.24,407.3,407.47,407.76,407.95,408.03,408.2,408.34,408.6
2019,408.9,408.99,409.24,409.5,409.7,409.95,410.17,410.48,410.76,410.97,411.05,411.16
2020,411.34,411.57,411.81,412.05,412.2,412.35,412.52,412.62,412.85,413.18,413.38,413.46
2021,413.66,413.82,413.87,413.98,414.37,414.64,414.75,415.0,415.24,415.37,415.76,415.98
2022,416.1,416.26,416.53,416.75,416.81,416.86,416.98,417.25,417.47,417.67,417.99,418.23
2023,418.26,418.28,418.36,418.63,418.86,418.96,419.2,419.57,419.96,420.31,420.52,420.89
